EQUIPO,PART,MIN,PT,T2,T3,TC,TL,RO,RD,RT,AS,BR,BP,TF,TC,MT,FC,FR,VA,Temporada,Liga
UNB OBENASA,20,4025,1218,306/755,134/413,440/1168,204/261,172,448,620,197,146,325,30,41,0,309,334,1085,2012/2013,LF Endesa
BEROIL - CIUDAD DE BURGOS,20,4000,1316,353/807,124/388,477/1195,238/325,202,404,606,194,241,303,23,43,0,343,346,1232,2012/2013,LF Endesa
RIVAS ECOPOLIS,20,4000,1490,469/997,101/255,570/1252,249/325,201,506,707,260,174,276,46,30,0,321,353,1645,2012/2013,LF Endesa
JUARISTI ISB,34,6778,2611,659/1230,298/874,957/2104,399/575,288,760,1048,428,186,463,58,64,51,682,659,2522,2021/2022,LEB Oro
LEYMA CORUÑA,34,6825,2738,685/1283,305/800,990/2083,453/652,302,811,1113,513,238,451,86,52,106,678,668,2935,2021/2022,LEB Oro
CACERES PATRIMONIO DE LA HUMANIDAD,34,6900,2607,661/1352,259/758,920/2110,508/716,295,783,1078,384,229,421,62,55,39,796,728,2473,2021/2022,LEB Oro
UNICAJA BANCO OVIEDO,34,6875,2610,692/1411,259/772,951/2183,449/620,354,796,1150,420,229,396,52,71,70,571,671,2762,2021/2022,LEB Oro
C.B. PRAT,34,6800,2615,718/1351,258/830,976/2181,405/572,320,675,995,404,244,360,61,50,107,693,608,2502,2021/2022,LEB Oro
ZUNDER PALENCIA,34,6850,2642,684/1295,270/785,954/2080,464/637,294,789,1083,406,200,427,86,59,98,629,674,2736,2021/2022,LEB Oro
MELILLA SPORT CAPITAL CLUB MELILLA BALONCESTO,34,6850,2559,622/1241,303/857,925/2098,406/576,295,742,1037,484,223,427,34,64,51,613,651,2605,2021/2022,LEB Oro
UEMC REAL VALLADOLID BALONCESTO,34,6800,2600,763/1456,237/688,1000/2144,363/502,280,764,1044,400,211,370,31,55,50,695,620,2558,2021/2022,LEB Oro
HLA ALICANTE,34,6925,2672,702/1352,267/792,969/2144,467/617,289,873,1162,526,207,434,65,89,86,701,674,2846,2021/2022,LEB Oro
ICG FORÇA LLEIDA,34,6825,2757,704/1327,296/845,1000/2172,461/625,292,826,1118,489,215,429,72,46,86,635,655,2906,2021/2022,LEB Oro
TAU CASTELLÓ,34,6900,2703,712/1342,275/812,987/2154,454/583,292,794,1086,623,208,408,61,74,59,649,674,3002,2021/2022,LEB Oro
ACUNSA GIPUZKOA,34,6875,2609,627/1217,333/906,960/2123,356/477,268,724,992,510,206,398,42,80,25,706,569,2540,2021/2022,LEB Oro
MOVISTAR ESTUDIANTES,34,6825,2691,756/1370,257/741,1013/2111,408/559,296,791,1087,571,251,397,50,60,95,664,619,2959,2021/2022,LEB Oro
BASQUET GIRONA,34,6875,2675,698/1314,278/859,976/2173,445/613,278,872,1150,462,218,398,50,47,69,676,659,2775,2021/2022,LEB Oro
ICG FORÇA LLEIDA,18,3600,1369,344/662,135/417,479/1079,276/375,155,398,553,248,119,207,14,14,15,339,366,1424,2020/2021,LEB Oro
TAU CASTELLÓ,18,3725,1437,324/633,183/454,507/1087,240/341,130,449,579,297,118,202,28,24,32,321,361,1616,2020/2021,LEB Oro
DELTECO GIPUZKOA BASKET,24,4825,1821,497/965,182/566,679/1531,281/394,214,578,792,362,201,256,72,63,38,449,447,1962,2019/2020,LEB Oro
IBEREÓLICA RENOVABLES OURENSE,16,3200,1195,295/568,132/329,427/897,209/287,116,319,435,183,79,174,15,25,9,281,313,1217,2020/2021,LEB Oro
MELILLA SPORT CAPITAL CLUB MELILLA BALONCESTO,16,3225,1196,320/616,120/347,440/963,196/285,154,353,507,205,87,198,22,27,27,378,285,1114,2020/2021,LEB Oro
CLINICA SUR-ASPASIA RVB,16,3225,1322,355/639,126/349,481/988,234/331,128,353,481,179,101,166,15,19,26,344,336,1320,2020/2021,LEB Oro
LIBERBANK OVIEDO BALONCESTO,16,3225,1269,333/644,129/319,462/963,216/306,145,341,486,201,103,171,33,17,24,306,325,1349,2020/2021,LEB Oro
RÍO BREOGÁN,16,3200,1259,341/584,114/325,455/909,235/318,117,397,514,167,107,195,8,7,11,339,320,1304,2020/2021,LEB Oro
BÀSQUET GIRONA,18,3675,1404,344/642,176/486,520/1128,188/264,130,391,521,252,132,223,21,25,13,401,309,1331,2020/2021,LEB Oro
COVIRAN GRANADA,18,3675,1413,315/584,176/487,491/1071,255/346,153,408,561,260,118,231,40,19,22,336,369,1523,2020/2021,LEB Oro
B THE TRAVEL BRAND MALLORCA-PALMA,24,4825,1839,429/851,217/632,646/1483,330/441,228,622,850,354,154,319,68,57,24,509,491,1923,2019/2020,LEB Oro
CHOCOLATES TRAPA PALENCIA,24,4825,1980,509/953,205/545,714/1498,347/436,224,572,796,397,129,263,48,69,50,440,485,2190,2019/2020,LEB Oro
TAU CASTELLÓ,24,4850,1901,453/923,215/578,668/1501,350/502,208,584,792,382,179,300,76,52,56,475,501,2019,2019/2020,LEB Oro
CB ALMANSA CON AFANION,18,3625,1390,361/640,145/409,506/1049,233/322,134,399,533,284,125,227,15,15,23,386,353,1455,2020/2021,LEB Oro
LEVITEC HUESCA,18,3625,1259,269/535,178/522,447/1057,187/259,139,390,529,221,105,240,12,15,23,378,314,1140,2020/2021,LEB Oro
LIBERBANK OVIEDO BALONCESTO,24,4825,1682,388/786,198/623,586/1409,312/416,163,606,769,383,129,318,56,52,16,494,466,1694,2019/2020,LEB Oro
LEVITEC HUESCA,24,4800,1760,452/966,186/541,638/1507,298/405,201,598,799,331,157,306,44,79,17,465,478,1743,2019/2020,LEB Oro
AFANION CB ALMANSA,24,4875,1838,473/1037,171/531,644/1568,379/516,277,552,829,353,186,287,28,77,16,464,503,1848,2019/2020,LEB Oro
